category,tag,domain,source,environment,scenario,file
mass/thin,thin,mechanical,compass,classroom,the metal point of a compass scratching a plastic ruler,thin/thin_mechanical_0031.mp3
mass/thin,thin,mechanical,metronome,parlor,a mechanical metronome ticking in a large empty parlor,thin/thin_mechanical_0032.mp3
mass/thin,thin,mechanical,scissors,kitchen,thin metal scissors cutting through a piece of silk,thin/thin_mechanical_0033.mp3
mass/thin,thin,environmental,wind,clifftop,wind whistling through a single strand of wire on a clifftop,thin/thin_environmental_0034.mp3
mass/thin,thin,environmental,ice,lake,a thin sheet of ice cracking over a puddle,thin/thin_environmental_0035.mp3
mass/thin,thin,environmental,rain,tin roof,a few light rain drops hitting a thin tin roof,thin/thin_environmental_0036.mp3
mass/thin,thin,environmental,twigs,forest,a dry pine needle snapping in a forest,thin/thin_environmental_0037.mp3
mass/thin,thin,environmental,leaves,garden,a single dry leaf skittering across a stone path,thin/thin_environmental_0038.mp3
mass/thin,thin,environmental,sand,desert,a thin stream of sand falling onto a metal plate,thin/thin_environmental_0039.mp3
mass/thin,thin,environmental,water,cave,a tiny drip of water hitting a flat stone in a cave,thin/thin_environmental_0040.mp3
mass/thin,thin,environmental,hail,car roof,small ice pellets bouncing off a thin aluminum car roof,thin/thin_environmental_0041.mp3
mass/thin,thin,environmental,thaw,woods,an icicle shattering into thin shards on a rock,thin/thin_environmental_0042.mp3
mass/thin,thin,environmental,mist,fjord,the faint hiss of mist moving through a metal railing,thin/thin_environmental_0043.mp3
mass/thin,thin,environmental,grass,prairie,a single blade of grass whistling in the wind,thin/thin_environmental_0044.mp3
mass/thin,thin,environmental,frost,morning field,frost crystals cracking on a window pane,thin/thin_environmental_0045.mp3
mass/thin,thin,environmental,echo,mountains,a high-pitched shout echoing off a distant peak,thin/thin_environmental_0046.mp3
mass/thin,thin,environmental,pebbles,beach,a small pebble falling onto a pile of shells,thin/thin_environmental_0047.mp3
mass/thin,thin,environmental,fire,campsite,a single dry straw stem popping in a fire,thin/thin_environmental_0048.mp3
mass/thin,thin,environmental,bubbles,pond,a single small bubble popping on a pond surface,thin/thin_environmental_0049.mp3
mass/thin,thin,environmental,volcano,crater,the faint hiss of gas from a small fumarole,thin/thin_environmental_0050.mp3
mass/thin,thin,organic,insect,meadow,a mosquitos wings buzzing near an ear,thin/thin_organic_0051.mp3
mass/thin,thin,organic,hair,barber shop,a single strand of hair being snipped by scissors,thin/thin_organic_0052.mp3
mass/thin,thin,organic,nails,table,a fingernail flicking a plastic cup,thin/thin_organic_0053.mp3
mass/thin,thin,organic,voice,hallway,a thin reedy voice whispering in a hallway,thin/thin_organic_0054.mp3
mass/thin,thin,organic,bones,museum,a small bird bone clicking against a glass shelf,thin/thin_organic_0055.mp3
mass/thin,thin,organic,skin,bedroom,a finger sliding over a piece of dry parchment,thin/thin_organic_0056.mp3
mass/thin,thin,organic,teeth,clinic,a metal probe tapping a tooth,thin/thin_organic_0057.mp3
mass/thin,thin,organic,wings,garden,a dragonflys wings fluttering against a leaf,thin/thin_organic_0058.mp3
mass/thin,thin,organic,leaves,forest,shuffling through a thin layer of dry birch bark,thin/thin_organic_0059.mp3
mass/thin,thin,organic,twigs,woods,snapping a very thin dry bramble,thin/thin_organic_0060.mp3
mass/thin,thin,organic,scales,aquarium,a small lizard moving its tail against a dry leaf,thin/thin_organic_0061.mp3
mass/thin,thin,organic,nest,tree,a bird moving a thin twig in its nest,thin/thin_organic_0062.mp3
mass/thin,thin,organic,shells,beach,two tiny seashells rubbing together in a pocket,thin/thin_organic_0063.mp3
mass/thin,thin,organic,claws,floor,a mouses claws scratching on a wooden floor,thin/thin_organic_0064.mp3
mass/thin,thin,organic,throat,study,a thin dry cough in a quiet library,thin/thin_organic_0065.mp3
mass/thin,thin,organic,breathing,tent,shallow breathing through a pinched nose,thin/thin_organic_0066.mp3
mass/thin,thin,organic,eggshell,kitchen,a thin sparrow egg cracking on a counter,thin/thin_organic_0067.mp3
mass/thin,thin,domestic,aluminum foil,kitchen,a thin sheet of aluminum foil being crumpled,thin/thin_domestic_0068.mp3
mass/thin,thin,domestic,needle,sewing room,a sewing needle being dropped on a hardwood floor,thin/thin_domestic_0069.mp3
mass/thin,thin,domestic,glass,dining room,a thin wine glass rim being tapped with a fingernail,thin/thin_domestic_0070.mp3
mass/thin,thin,domestic,paper,office,a single sheet of paper being torn slowly,thin/thin_domestic_0071.mp3
mass/thin,thin,domestic,wire,garage,a thin copper wire being twisted,thin/thin_domestic_0072.mp3
mass/thin,thin,domestic,keys,foyer,a single small key jingling on a metal ring,thin/thin_domestic_0073.mp3
mass/thin,thin,domestic,spoon,kitchen,a thin metal spoon stirring tea in a porcelain cup,thin/thin_domestic_0074.mp3
mass/thin,thin,domestic,thread,closet,a single thread of polyester being snapped,thin/thin_domestic_0075.mp3
mass/thin,thin,domestic,bulb,attic,the faint tinkling of a shattered light bulb filament,thin/thin_domestic_0076.mp3
mass/thin,thin,domestic,faucet,bathroom,a steady thin stream of water hitting a plastic basin,thin/thin_domestic_0077.mp3
mass/thin,thin,domestic,comb,bedroom,a plastic comb being run along the edge of a table,thin/thin_domestic_0078.mp3
mass/thin,thin,domestic,plastic,pantry,a thin plastic bag being rustled,thin/thin_domestic_0079.mp3
mass/thin,thin,domestic,curtain,living room,a thin lace curtain sliding on a metal rod,thin/thin_domestic_0080.mp3
mass/thin,thin,domestic,pin,sewing box,a metal pin rattling in a plastic container,thin/thin_domestic_0081.mp3
mass/thin,thin,domestic,mirror,dressing room,a thin glass mirror being cleaned with a paper towel,thin/thin_domestic_0082.mp3
mass/thin,thin,domestic,zipper,closet,a tiny metal zipper on a dress being closed,thin/thin_domestic_0083.mp3
mass/thin,thin,domestic,remote,living room,pressing a button on a thin plastic remote,thin/thin_domestic_0084.mp3
mass/thin,thin,electronic,coil whine,office,high-pitched coil whine from a laptop charger,thin/thin_electronic_0085.mp3
mass/thin,thin,electronic,capacitor,lab,a small ceramic capacitor discharging,thin/thin_electronic_0086.mp3
mass/thin,thin,electronic,static,radio,faint static on a hand-held radio,thin/thin_electronic_0087.mp3
mass/thin,thin,electronic,synthesizer,studio,a single high-frequency sine wave,thin/thin_electronic_0088.mp3
mass/thin,thin,electronic,led,hallway,the faint buzz of a low-quality led bulb,thin/thin_electronic_0089.mp3
mass/thin,thin,electronic,modem,basement,the high-pitched digital chirp of a modem,thin/thin_electronic_0090.mp3
mass/thin,thin,electronic,earphones,bus,music leaking from a pair of thin earphones,thin/thin_electronic_0091.mp3
mass/thin,thin,electronic,taser,security,a small spark jumping across a taser electrode,thin/thin_electronic_0092.mp3
mass/thin,thin,electronic,buzzer,toy,a weak electronic buzzer in a plastic toy,thin/thin_electronic_0093.mp3
mass/thin,thin,electronic,relay,factory,a small electronic relay clicking rapidly,thin/thin_electronic_0094.mp3
mass/thin,thin,electronic,monitor,office,the high-frequency squeal of an old crt monitor,thin/thin_electronic_0095.mp3
mass/thin,thin,electronic,laser,facility,a low-power laser beam hitting a metal sensor,thin/thin_electronic_0096.mp3
mass/thin,thin,electronic,clock,bedroom,the beep of a thin digital watch,thin/thin_electronic_0097.mp3
mass/thin,thin,electronic,flash,studio,a small camera flash recycling its energy,thin/thin_electronic_0098.mp3
mass/thin,thin,electronic,sensor,warehouse,the faint chirp of a smoke detector with a low battery,thin/thin_electronic_0099.mp3
mass/thin,thin,electronic,battery,garage,a dying battery causing a toy to whine,thin/thin_electronic_0100.mp3
mass/thin,thin,electronic,oscillator,lab,a high-frequency triangle wave at low volume,thin/thin_electronic_0101.mp3
mass/thin,empty,musical,plastic bottle,backyard,blowing across the opening of an empty plastic bottle,empty/empty_musical_0000.mp3
mass/thin,empty,musical,wood block,recording studio,a hollow wood block struck with a hard mallet,empty/empty_musical_0001.mp3
mass/thin,empty,musical,drum,concert hall,a large bass drum hit softly in an empty hall,empty/empty_musical_0002.mp3
mass/thin,empty,musical,pan drum,garden,an empty steel pan drum being tapped,empty/empty_musical_0003.mp3
mass/thin,empty,musical,pipe,construction site,blowing into the end of a long pvc pipe,empty/empty_musical_0004.mp3
mass/thin,empty,musical,marimba,gym,the lowest resonator tube of a marimba being tapped,empty/empty_musical_0005.mp3
mass/thin,empty,musical,guitar,cabin,knocking on the body of an empty acoustic guitar,empty/empty_musical_0006.mp3
mass/thin,empty,musical,cajon,stage,a slap on the side of a hollow cajon,empty/empty_musical_0007.mp3
mass/thin,empty,musical,synthesizer,studio,a filtered noise sweep on a synthesizer,empty/empty_musical_0008.mp3
mass/thin,empty,musical,jug,porch,blowing into a ceramic jug in an empty porch,empty/empty_musical_0009.mp3
mass/thin,empty,musical,bells,church,the resonance of a large church bell after the strike,empty/empty_musical_0010.mp3
mass/thin,empty,musical,flute,cave,a low note on a large hollow flute in a cave,empty/empty_musical_0011.mp3
mass/thin,empty,musical,didgeridoo,outback,a didgeridoo drone echoing in a hollow log,empty/empty_musical_0012.mp3
mass/thin,empty,musical,shaker,room,an empty plastic shaker being moved quickly,empty/empty_musical_0013.mp3
mass/thin,empty,musical,cello,hall,plucking a cello string in a completely empty room,empty/empty_musical_0014.mp3
mass/thin,empty,musical,piano,ballroom,a single piano note decaying in a vast empty ballroom,empty/empty_musical_0015.mp3
mass/thin,empty,musical,gong,temple,a large gong vibrating after being struck in a temple,empty/empty_musical_0016.mp3
mass/thin,empty,mechanical,drum,warehouse,an empty steel oil drum being struck with a hammer,empty/empty_mechanical_0017.mp3
mass/thin,empty,mechanical,pipe,factory,a metal wrench falling into a hollow pipe,empty/empty_mechanical_0018.mp3
mass/thin,empty,mechanical,tank,shipyard,knocking on the side of an empty fuel tank,empty/empty_mechanical_0019.mp3
mass/thin,empty,mechanical,gears,mill,hollow plastic gears spinning in a casing,empty/empty_mechanical_0020.mp3
mass/thin,empty,mechanical,conveyor,plant,an empty conveyor belt rattling on its rollers,empty/empty_mechanical_0021.mp3
mass/thin,empty,mechanical,elevator,building,the echo of an elevator moving in an empty shaft,empty/empty_mechanical_0022.mp3
mass/thin,empty,mechanical,silo,farm,a stone falling to the bottom of an empty grain silo,empty/empty_mechanical_0023.mp3
mass/thin,empty,mechanical,boiler,basement,knocking on the side of an empty iron boiler,empty/empty_mechanical_0024.mp3
mass/thin,empty,mechanical,pump,well,a water pump sucking air in an empty well,empty/empty_mechanical_0025.mp3
mass/thin,empty,mechanical,vent,attic,wind howling through an empty metal vent,empty/empty_mechanical_0026.mp3
mass/thin,empty,mechanical,pulleys,theater,a rope moving through an empty pulley system,empty/empty_mechanical_0027.mp3
mass/thin,empty,mechanical,box,shipping port,an empty shipping container being moved,empty/empty_mechanical_0028.mp3
mass/thin,empty,mechanical,lathe,shop,a lathe spinning without a workpiece in a hollow shop,empty/empty_mechanical_0029.mp3
mass/thin,empty,mechanical,drill,garage,a drill bit rattling inside a hollow metal tube,empty/empty_mechanical_0030.mp3
mass/thin,empty,mechanical,fan,office,a ventilation fan humming in an empty office,empty/empty_mechanical_0031.mp3
mass/thin,empty,mechanical,press,factory,a hydraulic press cycling in an empty hall,empty/empty_mechanical_0032.mp3
mass/thin,empty,mechanical,can,alley,an empty tin can rolling down a concrete alley,empty/empty_mechanical_0033.mp3
mass/thin,empty,mechanical,tub,laundry,an empty metal wash tub being dragged,empty/empty_mechanical_0034.mp3
mass/thin,empty,environmental,cave,cavern,a single drop of water echoing in a vast empty cave,empty/empty_environmental_0035.mp3
mass/thin,empty,environmental,canyon,desert,a distant shout echoing in an empty canyon,empty/empty_environmental_0036.mp3
mass/thin,empty,environmental,log,forest,tapping on the bark of a hollow fallen log,empty/empty_environmental_0037.mp3
mass/thin,empty,environmental,shell,beach,blowing across the opening of a large conch shell,empty/empty_environmental_0038.mp3
mass/thin,empty,environmental,thunder,plains,the hollow rumble of thunder across an empty plain,empty/empty_environmental_0039.mp3
mass/thin,empty,environmental,wind,ice cave,wind moaning through an empty ice cavern,empty/empty_environmental_0040.mp3
mass/thin,empty,environmental,tunnel,subway,footsteps echoing in an empty subway tunnel,empty/empty_environmental_0041.mp3
mass/thin,empty,environmental,well,village,a stone splashing at the bottom of an empty stone well,empty/empty_environmental_0042.mp3
mass/thin,empty,environmental,stalk,field,the wind rustling through hollow dry corn stalks,empty/empty_environmental_0043.mp3
mass/thin,empty,environmental,bamboo,grove,hollow bamboo stalks knocking together in the wind,empty/empty_environmental_0044.mp3
mass/thin,empty,environmental,ice,glacier,air bubbles popping in a hollow ice sheet,empty/empty_environmental_0045.mp3
mass/thin,empty,environmental,waves,shore,waves crashing into an empty sea cave,empty/empty_environmental_0046.mp3
mass/thin,empty,environmental,geyser,volcanic field,steam escaping from a hollow rock vent,empty/empty_environmental_0047.mp3
mass/thin,empty,environmental,rock,quarry,a stone rolling down a hollow rock face,empty/empty_environmental_0048.mp3
mass/thin,empty,environmental,echo,valley,a whistle echoing in an empty valley,empty/empty_environmental_0049.mp3
mass/thin,empty,environmental,mist,fjord,a foghorn sounding through an empty fjord,empty/empty_environmental_0050.mp3
mass/thin,empty,environmental,mud,swamp,gas escaping from a hollow mud bubble,empty/empty_environmental_0051.mp3
mass/thin,empty,organic,skull,museum,a finger tapping on an empty animal skull,empty/empty_organic_0052.mp3
mass/thin,empty,organic,chest,bedroom,a hollow thud from a chest being patted,empty/empty_organic_0053.mp3
mass/thin,empty,organic,stomach,library,the hollow gurgle of an empty stomach,empty/empty_organic_0054.mp3
mass/thin,empty,organic,voice,hall,a person humming in an empty auditorium,empty/empty_organic_0055.mp3
mass/thin,empty,organic,throat,study,a hollow cough in a quiet room,empty/empty_organic_0056.mp3
mass/thin,empty,organic,bones,cave,dry hollow bones clattering on a stone floor,empty/empty_organic_0057.mp3
mass/thin,empty,organic,fruit,kitchen,tapping on a hollow dried gourd,empty/empty_organic_0058.mp3
mass/thin,empty,organic,seeds,field,shaking a dry hollow seed pod,empty/empty_organic_0059.mp3
mass/thin,empty,organic,wings,woods,the hollow flap of a large birds wings,empty/empty_organic_0060.mp3
mass/thin,empty,organic,breath,tent,breathing into an empty plastic canteen,empty/empty_organic_0061.mp3
mass/thin,empty,organic,heartbeat,body,a hollow heartbeat heard through a stethoscope,empty/empty_organic_0062.mp3
mass/thin,empty,organic,feet,warehouse,heavy boots walking on a hollow wooden floor,empty/empty_organic_0063.mp3
mass/thin,empty,organic,hair,salon,snapping a hollow hair follicle,empty/empty_organic_0064.mp3
mass/thin,empty,organic,claws,attic,claws scratching on a hollow plywood ceiling,empty/empty_organic_0065.mp3
mass/thin,empty,organic,nest,tree,a bird moving in an empty hollow tree trunk,empty/empty_organic_0066.mp3
mass/thin,empty,organic,leaves,garden,shuffling through hollow dried leaves,empty/empty_organic_0067.mp3
mass/thin,empty,organic,eggshell,bowl,tapping on a hollow blown-out eggshell,empty/empty_organic_0068.mp3
mass/thin,empty,domestic,bin,pantry,an empty plastic bin falling onto a tile floor,empty/empty_domestic_0069.mp3
mass/thin,empty,domestic,bottle,kitchen,an empty glass bottle being set on a counter,empty/empty_domestic_0070.mp3
mass/thin,empty,domestic,box,closet,an empty cardboard box being dragged across a floor,empty/empty_domestic_0071.mp3
mass/thin,empty,domestic,pot,kitchen,tapping on the bottom of an empty metal pot,empty/empty_domestic_0072.mp3
mass/thin,empty,domestic,cup,dining room,stirring a spoon in an empty ceramic cup,empty/empty_domestic_0073.mp3
mass/thin,empty,domestic,closet,bedroom,someone speaking inside an empty walk-in closet,empty/empty_domestic_0074.mp3
mass/thin,empty,domestic,tub,bathroom,the echo of water dripping in an empty bathtub,empty/empty_domestic_0075.mp3
mass/thin,empty,domestic,can,pantry,shaking an empty tin can,empty/empty_domestic_0076.mp3
mass/thin,empty,domestic,room,house,shouting into a completely empty room,empty/empty_domestic_0077.mp3
mass/thin,empty,domestic,jar,kitchen,tapping on an empty glass mason jar,empty/empty_domestic_0078.mp3
mass/thin,empty,domestic,drawer,office,sliding an empty wooden drawer,empty/empty_domestic_0079.mp3
mass/thin,empty,domestic,cabinet,kitchen,closing an empty metal cabinet,empty/empty_domestic_0080.mp3
mass/thin,empty,domestic,trash can,alley,an empty metal trash can being kicked,empty/empty_domestic_0081.mp3
mass/thin,empty,domestic,kettle,kitchen,the resonance of an empty tea kettle,empty/empty_domestic_0082.mp3
mass/thin,empty,domestic,jug,basement,dropping an empty plastic water jug,empty/empty_domestic_0083.mp3
mass/thin,empty,domestic,trunk,attic,slamming the lid of an empty steamer trunk,empty/empty_domestic_0084.mp3
mass/thin,empty,domestic,vase,living room,blowing across the top of an empty glass vase,empty/empty_domestic_0085.mp3
mass/thin,empty,electronic,speaker,studio,the hum of an empty speaker cabinet,empty/empty_electronic_0086.mp3
mass/thin,empty,electronic,synthesizer,recording studio,a resonant band-pass filter on a white noise source,empty/empty_electronic_0087.mp3
mass/thin,empty,electronic,radio,room,the sound of an empty radio channel with high gain,empty/empty_electronic_0088.mp3
mass/thin,empty,electronic,amplifier,stage,the low hum of an empty guitar amplifier,empty/empty_electronic_0089.mp3
mass/thin,empty,electronic,television,living room,the static of an empty tv channel,empty/empty_electronic_0090.mp3
mass/thin,empty,electronic,microphone,hall,the echo of a microphone in an empty arena,empty/empty_electronic_0091.mp3
mass/thin,empty,electronic,modem,basement,the hollow digital noise of a connecting modem,empty/empty_electronic_0092.mp3
mass/thin,empty,electronic,taser,security,the electrical crackle of a taser in a hollow room,empty/empty_electronic_0093.mp3
mass/thin,empty,electronic,buzzer,factory,an electronic buzzer echoing in an empty hall,empty/empty_electronic_0094.mp3
mass/thin,empty,electronic,monitor,office,the hum of a monitor in an empty office,empty/empty_electronic_0095.mp3
mass/thin,empty,electronic,computer,server room,the echo of fans in an empty server room,empty/empty_electronic_0096.mp3
mass/thin,empty,electronic,phone,purse,a phone ringing in an empty handbag,empty/empty_electronic_0097.mp3
mass/thin,empty,electronic,record player,parlor,the sound of a needle in an empty record groove,empty/empty_electronic_0098.mp3
mass/thin,empty,electronic,microwave,kitchen,the hum of an empty microwave oven,empty/empty_electronic_0099.mp3
mass/thin,empty,electronic,oscillator,lab,a filtered square wave with high resonance,empty/empty_electronic_0100.mp3
mass/thin,empty,electronic,led,hallway,the hollow buzz of an empty led fixture,empty/empty_electronic_0101.mp3
mass/thin,empty,electronic,transformer,street,the hum of a transformer in an empty street,empty/empty_electronic_0102.mp3
mass/thin,light,musical,ping pong ball,gymnasium,a ping pong ball bouncing on a wooden floor,light/light_musical_0000.mp3
mass/thin,light,musical,feather,recording booth,a feather being dropped onto a microphone,light/light_musical_0001.mp3
mass/thin,light,musical,plastic whistle,playground,a small plastic whistle being blown gently,light/light_musical_0002.mp3
mass/thin,light,musical,paper,studio,crumpling a thin sheet of music paper,light/light_musical_0003.mp3
mass/thin,light,musical,tambourine,meadow,the light jingle of a plastic tambourine,light/light_musical_0004.mp3
mass/thin,light,musical,shaker,beach,a small shaker filled with plastic beads,light/light_musical_0005.mp3
mass/thin,light,musical,ukulele,porch,the light strumming of a plastic ukulele,light/light_musical_0006.mp3
mass/thin,light,musical,bell,nursery,a small plastic baby rattle being shaken,light/light_musical_0007.mp3
mass/thin,light,musical,flute,garden,a light note on a plastic recorder,light/light_musical_0008.mp3
mass/thin,light,musical,triangle,theatre,a light tap on a small metal triangle,light/light_musical_0009.mp3
mass/thin,light,musical,harp,parlor,plucking the highest string on a small lever harp,light/light_musical_0010.mp3
mass/thin,light,musical,piano,room,a single light key press on a toy piano,light/light_musical_0011.mp3
mass/thin,light,musical,guitar,cabin,a light fingerpick on a nylon guitar string,light/light_musical_0012.mp3
mass/thin,light,musical,synthesizer,studio,a light electronic bleep from a synthesizer,light/light_musical_0013.mp3
mass/thin,light,musical,drum,stage,a light tap on a small bongo drum,light/light_musical_0014.mp3
mass/thin,light,musical,glockenspiel,classroom,a light mallet hit on a glockenspiel,light/light_musical_0015.mp3
mass/thin,light,musical,chimes,patio,light bamboo chimes clacking in a breeze,light/light_musical_0016.mp3
mass/thin,light,mechanical,watch,workshop,the light ticking of a mechanical wristwatch,light/light_mechanical_0017.mp3
mass/thin,light,mechanical,gear,lab,a light plastic gear spinning at high speed,light/light_mechanical_0018.mp3
mass/thin,light,mechanical,pen,office,clicking a plastic ballpoint pen,light/light_mechanical_0019.mp3
mass/thin,light,mechanical,shutter,studio,the light click of a camera shutter,light/light_mechanical_0020.mp3
mass/thin,light,mechanical,fan,bedroom,a light plastic desk fan spinning,light/light_mechanical_0021.mp3
mass/thin,light,mechanical,zipper,closet,the light sound of a plastic zipper,light/light_mechanical_0022.mp3
mass/thin,light,mechanical,stapler,desk,a light tap on a stapler,light/light_mechanical_0023.mp3
mass/thin,light,mechanical,printer,office,the light whir of a laser printer,light/light_mechanical_0024.mp3
mass/thin,light,mechanical,mouse,study,the light click of a computer mouse,light/light_mechanical_0025.mp3
mass/thin,light,mechanical,keyboard,library,a light key press on a laptop,light/light_mechanical_0026.mp3
mass/thin,light,mechanical,clock,bedroom,the light tick of a quartz clock,light/light_mechanical_0027.mp3
mass/thin,light,mechanical,lock,foyer,the light click of a key in a lock,light/light_mechanical_0028.mp3
mass/thin,light,mechanical,lathe,shop,a light shaving of wood on a lathe,light/light_mechanical_0029.mp3
mass/thin,light,mechanical,drill,garage,the light whir of a small hand drill,light/light_mechanical_0030.mp3
mass/thin,light,mechanical,switch,hallway,the light click of a wall switch,light/light_mechanical_0031.mp3
mass/thin,light,mechanical,button,elevator,the light press of an elevator button,light/light_mechanical_0032.mp3
mass/thin,light,mechanical,spring,toy,the light bounce of a small spring,light/light_mechanical_0033.mp3
mass/thin,light,mechanical,wheel,warehouse,the light roll of a plastic caster wheel,light/light_mechanical_0034.mp3
mass/thin,light,environmental,leaf,forest,a light leaf falling onto a pile of moss,light/light_environmental_0035.mp3
mass/thin,light,environmental,snow,mountain,a light dusting of snow falling from a branch,light/light_environmental_0036.mp3
mass/thin,light,environmental,wind,meadow,a light breeze rustling through tall grass,light/light_environmental_0037.mp3
mass/thin,light,environmental,rain,pond,light rain tapping on the surface of a pond,light/light_environmental_0038.mp3
mass/thin,light,environmental,dust,attic,a light puff of dust being blown off a shelf,light/light_environmental_0039.mp3
mass/thin,light,environmental,sand,desert,light sand grains blowing against a tent,light/light_environmental_0040.mp3
mass/thin,light,environmental,water,stream,a light ripple in a small creek,light/light_environmental_0041.mp3
mass/thin,light,environmental,twigs,woods,a light snap of a dry twig,light/light_environmental_0042.mp3
mass/thin,light,environmental,ice,glacier,a light crack in a thin layer of frost,light/light_environmental_0043.mp3
mass/thin,light,environmental,mist,fjord,the light hiss of mist on a rock,light/light_environmental_0044.mp3
mass/thin,light,environmental,bubble,swamp,a light bubble popping in a puddle,light/light_environmental_0045.mp3
mass/thin,light,environmental,thaw,forest,a light drip of water from an icicle,light/light_environmental_0046.mp3
mass/thin,light,environmental,echo,valley,a light whistle echoing off a cliff,light/light_environmental_0047.mp3
mass/thin,light,environmental,grass,field,a light rustle of grass in the wind,light/light_environmental_0048.mp3
mass/thin,light,environmental,pebbles,beach,a light clink of two small pebbles,light/light_environmental_0049.mp3
mass/thin,light,environmental,fire,campsite,a light crackle from a small twig in a fire,light/light_environmental_0050.mp3
mass/thin,light,environmental,lightning,plains,a light static discharge before a storm,light/light_environmental_0051.mp3
mass/thin,light,organic,butterfly,garden,a butterflys wings fluttering against a flower,light/light_organic_0052.mp3
mass/thin,light,organic,ant,patio,the light scratching of an ant on a leaf,light/light_organic_0053.mp3
mass/thin,light,organic,hair,bedroom,the light sound of a brush through hair,light/light_organic_0054.mp3
mass/thin,light,organic,skin,spa,a light stroke of a finger on skin,light/light_organic_0055.mp3
mass/thin,light,organic,voice,nursery,a light whisper of a lullaby,light/light_organic_0056.mp3
mass/thin,light,organic,breath,tent,a light exhale in a quiet tent,light/light_organic_0057.mp3
mass/thin,light,organic,heartbeat,room,a light heartbeat heard through a thin shirt,light/light_organic_0058.mp3
mass/thin,light,organic,feet,hallway,light footsteps on a wooden floor,light/light_organic_0059.mp3
mass/thin,light,organic,nails,table,a light tap of a fingernail on wood,light/light_organic_0060.mp3
mass/thin,light,organic,wings,woods,the light flap of a small birds wings,light/light_organic_0061.mp3
mass/thin,light,organic,bones,museum,the light click of a small bird bone,light/light_organic_0062.mp3
